Issuer,Ticker,Coupon,Maturity,Issue Date,ISIN,Preferred RIC,Principal Currency,Country of Issue,Issuer Type,Instrument Type,Coupon Type,Amount Issued (USD),Bond Grade,Green Bond,Sector,TRBC Sector,Country of Incorporation,SIC,Use of Proceeds,IsPublic,First Announcement Date
Iberdrola International BV,IBERD,3.25,,2019-02-12,XS1890845875,ES189084587=,Euro,Eurobond Market,Corporate,Bond,Fixed Resettable,945358290,Investment Grade,Yes,Financial - Other,Electric Utilities (NEC),Netherlands,6726,Energy Efficiency,False,2019-02-05
Xinjiang Goldwind Science & Technology Co Ltd,XINGO,4.2,,2016-09-01,CND10000C3L5,CN131656002=,Chinese Yuan,China (Mainland),Corporate,Note,Fixed Resettable,73206442,,Yes,Electronics,Wind Systems & Equipment,China (Mainland),3511,Alternative Energy,True,2016-09-01
Ac Energy Finance International Ltd,ACFTE,5.65,,2019-12-04,XS2082433736,KY208243373=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,400000000,,Yes,Financial - Other,Corporate Financial Services (NEC),Cayman Islands,6799,Energy Efficiency,False,2019-11-26
CGN Wind Energy Ltd,SASABZ,5.25,,2017-09-14,CND100017CJ8,CN131751002=,Chinese Yuan,China (Mainland),Corporate,Note,Fixed Resettable,146412884,,Yes,Utility - Other,Electric Utilities (NEC),China (Mainland),4911,Eligible Green Projects,False,2017-09-08
CGN Wind Energy Ltd,SASABZ,4.31,,2019-01-07,CND10001WQ91,CN131900001=,Chinese Yuan,China (Mainland),Corporate,Note,Fixed Resettable,146412884,,Yes,Utility - Other,Electric Utilities (NEC),China (Mainland),4911,Electric & Public Power,False,2019-01-02
Citycon Oyj,CTYAS,4.496,,2019-11-22,XS2079413527,FI207941352=,Euro,Eurobond Market,Corporate,Note,Fixed Resettable,413594252,High Yield,Yes,Retail Stores - Other,Retail Real Estate Rental & Development,Finland,5999,Clean Transport,True,2019-11-18
Engie SA,ENGIE,1.375,,2018-01-16,FR0013310505,FR0013310505=,Euro,France,Corporate,Capital Security,Fixed Resettable,1181697863,Investment Grade,Yes,Oil and Gas,Multiline Utilities,France,4925,Energy Efficiency,True,2018-01-10
Beijing Enterprises Water Group China Investment Co Ltd,BJEWGC,3.7,,2016-10-31,CND100017C17,CN131651001=,Chinese Yuan,China (Mainland),Corporate,Note,Fixed Resettable,409956076,,Yes,Service - Other,Water Supply & Irrigation Systems,China (Mainland),4941,Sustainable Water,False,2016-10-26
Iberdrola International BV,IBERD,1.875,,2017-11-22,XS1721244371,ES172124437=,Euro,Eurobond Market,Corporate,Note,Fixed Resettable,1181697863,Investment Grade,Yes,Financial - Other,Electric Utilities (NEC),Netherlands,6726,Energy Efficiency,False,2017-11-15
TenneT Holding BV,TNETH,2.995,,2017-04-12,XS1591694481,NL159169448=,Euro,Eurobond Market,Corporate,Note,Fixed Resettable,1181697863,Investment Grade,Yes,Utility - Other,Electrical Transmission & Grid Equipment,Netherlands,4931,Alternative Energy,False,2017-03-29
Iberdrola International BV,IBERD,2.625,,2018-03-26,XS1797138960,ES179713896=,Euro,Eurobond Market,Corporate,Note,Fixed Resettable,827188504,Investment Grade,Yes,Financial - Other,Electric Utilities (NEC),Netherlands,6726,Energy Efficiency,False,2018-03-19
Xinjiang Goldwind Science & Technology Co Ltd,XINGO,5,,2016-05-24,CND10000C3M3,CN131656001=,Chinese Yuan,China (Mainland),Corporate,Note,Fixed Resettable,146412884,,Yes,Electronics,Wind Systems & Equipment,China (Mainland),3511,Energy Efficiency,True,2016-05-23
Bank of Baroda Ltd,BOB,8.5,,2016-12-02,INE028A08083,INBOBPPH=,Indian Rupee,India,Corporate,Bond,Plain Vanilla Fixed Coupon,136158161,,Yes,Banking,Banks (NEC),India,6022,General Purpose,True,2016-12-01
Yiwu State owned Capital Operation Co Ltd,YIWUGO,6.27,,2018-04-10,CND1000163S9,CN131800008=,Chinese Yuan,China (Mainland),Corporate,Note,Fixed Resettable,102489019,,Yes,Financial - Other,"Real Estate Rental, Development & Operations (NEC)",China (Mainland),6799,Clean Transport,False,2018-04-04
Wuhan Metro Group Co Ltd,WHGVTS,5.98,,2018-12-05,XS1908374322,CN190837432=,US Dollar,Eurobond Market,Corporate,Capital Security,Fixed Resettable,400000000,Investment Grade,Yes,Transportation - Other,Commuting Services,China (Mainland),4789,Eligible Green Projects,False,2018-11-28
Engie SA,ENGIE,3.25,,2019-01-28,FR0013398229,FR0013398229=,Euro,France,Corporate,Capital Security,Fixed Resettable,1181697863,Investment Grade,Yes,Oil and Gas,Multiline Utilities,France,4925,Eligible Green Projects,True,2019-01-17
CGN Wind Energy Ltd,SASABZ,5.47,,2018-06-04,CND100017CK6,CN131800012=,Chinese Yuan,China (Mainland),Corporate,Note,Fixed Resettable,146412884,,Yes,Utility - Other,Electric Utilities (NEC),China (Mainland),4911,Alternative Energy,False,2018-05-24
China Development Bank,CNDBK,4.19,2020-09-15 00:00:00,2017-09-12,CND10000J7Q8,CN1702003=,Chinese Yuan,China (Mainland),Agency,Bond,Plain Vanilla Fixed Coupon,1464128843,,Yes,Agency,Corporate Banks,China (Mainland),6021,Eligible Green Projects,False,2017-09-12
Industrial and Commercial Bank of China Ltd (Hong Kong Branch),ICBAFH,3.1,2020-09-16 00:00:00,2019-09-16,HK0000525334,CN205217487=,Chinese Yuan,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,146412884,Investment Grade,Yes,Banking,Banks (NEC),Hong Kong,6081,Clean Transport,False,2019-09-09
Tesla Energy Operations Inc,TSLAS,3.6,2020-09-17 00:00:00,2015-09-17,US83417KDY10,83417KDY1=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,5000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Alternative Energy,False,2015-09-14
Credit Agricole Corporate and Investment Bank SA,CAGRAB,0.68,2020-09-24 00:00:00,2013-09-24,XS0970680541,FR097068054=,Japanese Yen,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,50917647,,Yes,Banking,Banks (NEC),France,6029,Alternative Energy,False,2013-09-05
Sumitomo Mitsui Trust Bank Ltd,MITBKA,0.091,2020-09-25 00:00:00,2018-09-25,XS1882030510,JP188203051=,Euro,Eurobond Market,Corporate,Note,Fixed Margin over Index,590848931,Investment Grade,Yes,Banking,Banks (NEC),Japan,6029,Eligible Green Projects,False,2018-09-18
Hanjin International Corp,KALINH,1.256,2020-09-28 00:00:00,2017-09-28,XS1687735107,KR168773510=,US Dollar,Eurobond Market,Corporate,Note,Fixed Margin over Index,300000000,Investment Grade,Yes,Lodging,Hotels & Motels,United States,7011,Eligible Green Projects,False,2017-09-26
KfW,KFW,1.79,2020-09-28 00:00:00,2017-09-28,US48245ACL35,48245ACL3=,US Dollar,United States,Agency,Note,Plain Vanilla Fixed Coupon,200000000,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Germany,6021,Alternative Energy,False,2017-09-25
Credit Agricole Corporate and Investment Bank SA,CAGRAB,6.25,2020-09-29 00:00:00,2017-09-28,XS1566941933,FR156694193=,Brazilian Real,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,1094442,,Yes,Banking,Banks (NEC),France,6029,Clean Transport,False,2017-09-01
Tesla Energy Operations Inc,TSLAS,3.6,2020-10-01 00:00:00,2015-10-01,US83417KED63,83417KED6=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,5000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Working capital,False,2015-09-14
Quantum Solar Park (Semenanjung) Sdn Bhd,QUANSS,4.96,2020-10-06 00:00:00,2017-10-06,MYBVG1702910,MYSUK170291=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Murabaha),Plain Vanilla Fixed Coupon,6016847,,Yes,Utility - Other,Electric Utilities (NEC),Malaysia,4911,,False,2017-10-04
Industrial and Commercial Bank of China Ltd (Luxembourg Branch),ICBACF,0.112,2020-10-12 00:00:00,2017-10-12,XS1691909334,CN169190933=,Euro,Eurobond Market,Corporate,Note,Fixed Margin over Index,1299867649,Investment Grade,Yes,Banking,Banks (NEC),Luxembourg,6081,Clean Transport,False,2017-09-28
Industrial and Commercial Bank of China Ltd (Luxembourg Branch),ICBACF,1.03625,2020-10-12 00:00:00,2017-10-12,XS1692890343,CN169289034=,US Dollar,Eurobond Market,Corporate,Note,Fixed Margin over Index,450000000,Investment Grade,Yes,Banking,Banks (NEC),Luxembourg,6081,Energy Efficiency,False,2017-09-28
Tesla Energy Operations Inc,TSLAS,3.6,2020-10-16 00:00:00,2015-10-16,US83417KEJ34,83417KEJ3=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,5000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Alternative Energy,False,2015-10-16
Sumitomo Mitsui Banking Corp,SUMFGI,2.45,2020-10-20 00:00:00,2015-10-20,US865622BY94,865622BY9=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Banking,Banks (NEC),Japan,6029,Eligible Green Projects,False,2015-10-14
Agricultural Bank of China Ltd,AGBKC,2.75,2020-10-20 00:00:00,2015-10-20,XS1303791336,CN130379133=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Banking,Corporate Banks,China (Mainland),6022,Eligible Green Projects,True,2015-10-02
Vasakronan AB (publ),VASKNV,1.063,2020-10-22 00:00:00,2015-10-22,SE0007666128,SE0007666128=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,37974250,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,Property Expendit (acquisit/development),False,2015-10-20
Vasakronan AB (publ),VASKNV,1.5,2020-10-22 00:00:00,2015-10-22,SE0007666136,SE0007666136=,Swedish Krona,Sweden,Corporate,Bond,Plain Vanilla Fixed Coupon,47553340,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,Green Construction,False,2015-10-20
Kommunalbanken AS,KOMBK,1.375,2020-10-26 00:00:00,2016-10-26,XS1508672828,NO150867282=,US Dollar,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Norway,6159,Alternative Energy,False,2016-10-19
Kommunalbanken AS,KOMBK,1.375,2020-10-26 00:00:00,2016-10-26,US50048MCD02,50048MCD0=,US Dollar,United States,Agency,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Norway,6159,Alternative Energy,False,2016-10-26
KfW,KFW,0.125,2020-10-27 00:00:00,2015-10-27,XS1311459694,DE131145969=,Euro,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,1772546795,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Germany,6021,Eligible Green Projects,False,2015-10-20
Tesla Energy Operations Inc,TSLAS,3.6,2020-11-05 00:00:00,2015-11-05,US83417KEP93,83417KEP9=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,5000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Alternative Energy,False,2015-11-02
Nacional Financiera SNC Institucion de Banca de Desarrollo,NAFIN,3.375,2020-11-05 00:00:00,2015-11-05,USP7071QAA24,MX131743840=,US Dollar,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Agency,Banks (NEC),Mexico,6029,Eligible Green Projects,False,2015-10-29
Nacional Financiera SNC Institucion de Banca de Desarrollo,NAFIN,3.375,2020-11-05 00:00:00,2015-11-05,US629598AS28,629598AS2=,US Dollar,United States,Agency,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Agency,Banks (NEC),Mexico,6029,Eligible Green Projects,False,2015-10-29
Tesla Energy Operations Inc,TSLAS,3.6,2020-11-19 00:00:00,2015-11-19,US83417KEU88,83417KEU8=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,5000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Alternative Energy,False,2015-11-16
Credit Agricole Corporate and Investment Bank SA,CAGRAB,5.08,2020-11-20 00:00:00,2017-11-20,XS1566943558,FR156694355=,Indian Rupee,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,5990959,,Yes,Banking,Banks (NEC),France,6029,Clean Transport,False,2017-10-18
Bank of China Ltd (Paris Branch),BKCHIN,0,2020-11-22 00:00:00,2017-11-22,XS1720540217,CN172054021=,Euro,Eurobond Market,Corporate,Note,Fixed Margin over Index,827188504,Investment Grade,Yes,Banking,Banks (NEC),France,6081,Clean Transport,False,2017-11-15
Bank of China Ltd (Paris Branch),BKCHIN,4.5,2020-11-22 00:00:00,2017-11-22,XS1720540308,CN172054030=,Chinese Yuan,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,146412884,Investment Grade,Yes,Banking,Banks (NEC),France,6081,Clean Transport,False,2017-11-15
ING Bank NV,INGBK,0.75,2020-11-24 00:00:00,2015-11-24,XS1324217733,NL132421773=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Banking,Banks (NEC),Netherlands,6029,Clean Transport,False,2015-11-17
Skanska Financial Services AB,SKAFL,0.769,2020-11-24 00:00:00,2018-05-24,SE0011088814,SE0011088814=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,57018394,,Yes,Financial - Other,Corporate Financial Services (NEC),Sweden,6211,Eligible Green Projects,False,2018-05-17
Societe Generale SA,SOGN,0.75,2020-11-25 00:00:00,2015-11-25,XS1324923520,FR132492352=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Banking,Banks (NEC),France,6029,Eligible Green Projects,True,2015-11-18
Humlegarden Fastigheter AB,HUMLG,0.769,2020-11-27 00:00:00,2018-11-27,SE0011643105,SE0011643105=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,39912875,,Yes,Home Builders,Land Division & Subdivision,Sweden,6531,Eligible Green Projects,False,2018-11-20
Bank Of China (Tokyo Branch),BKCHTO,4.35,2020-11-29 00:00:00,2018-11-29,XS1878123139,CN187812313=,Chinese Yuan,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,117130307,Investment Grade,Yes,Banking,Banks (NEC),Japan,6081,Clean Transport,False,2018-11-22
KfW,KFW,1.875,2020-11-30 00:00:00,2015-11-18,US500769GU24,500769GU2=,US Dollar,United States,Agency,Note,Plain Vanilla Fixed Coupon,1000000000,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Germany,6021,Eligible Green Projects,False,2015-11-10
IDBI Bank Ltd (Dubai Branch),IDBIDU,4.25,2020-11-30 00:00:00,2015-11-30,XS1325600994,IN132560099=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,350000000,High Yield,Yes,Banking,Banks (NEC),United Arab Emirates,6081,Eligible Green Projects,False,2015-11-23
Bank of Beijing Co Ltd,BOBJG,4.9,2020-11-30 00:00:00,2017-11-28,CND10000L024,CN1720085=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,2196193265,,Yes,Banking,Corporate Banks,China (Mainland),6021,Eligible Green Projects,True,2017-11-23
Suzhou GCL New Energy Investment Co Ltd,SZGCN,7.5,2020-12-01 00:00:00,2017-12-01,,CN114265SZ=,Chinese Yuan,China (Mainland),Corporate,Bond,Plain Vanilla Fixed Coupon,81991215,,Yes,Utility - Other,Financial & Commodity Market Operators & Service Providers (NEC),China (Mainland),4931,,False,2017-12-01
HSBC France SA,HSBASR,0.625,2020-12-03 00:00:00,2015-12-03,FR0013064755,FR0013064755=,Euro,France,Corporate,Bond,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Banking,Banks (NEC),France,6021,Eligible Green Projects,False,2015-11-25
Svensk FastighetsFinansiering AB (publ),SFFHOS,0.789,2020-12-03 00:00:00,2018-12-03,SE0010599423,SE0010599423=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,82562634,,Yes,Financial - Other,Corporate Financial Services (NEC),Sweden,6799,Green Construction,False,2018-11-30
Tesla Energy Operations Inc,TSLAS,3.6,2020-12-03 00:00:00,2015-12-03,US83417KEZ75,83417KEZ7=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,5000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,General Purpose,False,2015-11-16
CPPIB Capital Inc,CPPIBC,0.41,2020-12-10 00:00:00,2019-12-10,US22411WAL00,CA209149575=,US Dollar,Eurobond Market,Corporate,Note,Fixed Margin over Index,500000000,Investment Grade,Yes,Financial - Other,Investment Management & Fund Operators (NEC),Canada,6799,Eligible Green Projects,False,2019-12-03
CPPIB Capital Inc,CPPIBC,0.41,2020-12-10 00:00:00,2019-12-10,US22411VAL27,22411VAL2=,US Dollar,United States,Corporate,Note,Fixed Margin over Index,500000000,Investment Grade,Yes,Financial - Other,Investment Management & Fund Operators (NEC),Canada,6799,Eligible Green Projects,False,2019-12-03
KfW,KFW,0.586,2020-12-14 00:00:00,2015-12-14,XS1333145040,DE133314504=,Swedish Krona,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,114036788,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Germany,6021,Eligible Green Projects,False,2015-12-07
Credit Agricole Corporate and Investment Bank SA,CAGRAB,5.28,2020-12-15 00:00:00,2016-12-14,XS1417413140,FR141741314=,Indian Rupee,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,885028,,Yes,Banking,Banks (NEC),France,6029,Alternative Energy,False,2016-11-10
Tesla Energy Operations Inc,TSLAS,3.6,2020-12-17 00:00:00,2015-12-17,US83417KFE38,83417KFE3=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,5000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Alternative Energy,False,2015-11-30
Plaza Logistica Srl,PLAZL,6.25,2020-12-18 00:00:00,2017-12-18,ARPLAZ560011,ARPZC1OD=ME,US Dollar,Argentina,Corporate,Bond,Plain Vanilla Fixed Coupon,27062528,,Yes,Transportation - Other,Courier Services,Argentina,4215,Renewable Energy Projects,False,2017-12-14
Tesla Energy Operations Inc,TSLAS,3.6,2020-12-31 00:00:00,2015-12-31,US83417KFK97,83417KFK9=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,5000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,General Purpose,False,2015-12-14
Taiwan Business Bank,TWBSB,0.7,2021-01-05 00:00:00,2018-01-05,TW000G121289,TWG12128=,Taiwanese Dollar,Taiwan,Corporate,Note,Plain Vanilla Fixed Coupon,34120376,,Yes,Banking,Corporate Banks,Taiwan,6029,Eligible Green Projects,True,2017-12-28
Segi Astana Sdn Bhd,WCTES,5,2021-01-08 00:00:00,2018-01-08,MYBUG1800047,MYUG180004=,Malaysian Ringgit,Malaysia,Corporate,Bond,Plain Vanilla Fixed Coupon,6016847,,Yes,Financial - Other,Commercial Buildings,Malaysia,6799,,False,2018-01-04
Credit Agricole Corporate and Investment Bank SA,CAGRAB,11.8,2021-01-12 00:00:00,2018-01-11,XS1334472708,FR133447270=,Turkish Lira,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,1180542,,Yes,Banking,Banks (NEC),France,6029,Clean Transport,False,2017-11-28
Tesla Energy Operations Inc,TSLAS,3.6,2021-01-14 00:00:00,2016-01-14,US83417KFQ67,83417KFQ6=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,5000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,General Purpose,False,2015-12-28
Concord New Energy Group Ltd,CHNWD,7.9,2021-01-23 00:00:00,2018-01-23,XS1676123851,BM167612385=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,200000000,High Yield,Yes,Service - Other,Electric Power Plant Construction,Bermuda,8711,Energy Efficiency,True,2018-01-16
Vasakronan AB (publ),VASKNV,0.621,2021-01-26 00:00:00,2018-01-26,SE0010599084,SE0010599084=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,118598259,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,Energy Efficiency,False,2018-01-24
KfW,KFW,0.5,2021-01-27 00:00:00,2016-01-27,XS1351716896,DE135171689=,Swedish Krona,Eurobond Market,Agency,Bond,Plain Vanilla Fixed Coupon,114036788,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Germany,6021,Energy Efficiency,False,2016-01-20
Credit Agricole Corporate and Investment Bank SA,CAGRAB,11.71,2021-01-29 00:00:00,2018-01-30,XS1334467450,FR133446745=,Turkish Lira,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,38904241,Investment Grade,Yes,Banking,Banks (NEC),France,6029,Clean Transport,False,2018-01-19
Sinar Kamiri Sdn Bhd,SIKAM,5.04,2021-01-29 00:00:00,2018-01-30,MYBVG1800508,MYSUK180050=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Mudaraba),Plain Vanilla Fixed Coupon,2406738,,Yes,Utility - Other,Renewable Utilities,Malaysia,4911,General Purpose,False,2018-01-26
GCL New Energy Holdings Ltd,GCLNW,7.1,2021-01-30 00:00:00,2018-01-30,XS1746281226,KY174628122=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,500000000,High Yield,Yes,Utility - Other,Renewable Utilities,Bermuda,4931,General Purpose,True,2018-01-23
Export-Import Bank of Korea,KEXIM,2.125,2021-02-11 00:00:00,2016-02-11,US302154BZ10,302154BZ1=,US Dollar,United States,Agency,Note,Plain Vanilla Fixed Coupon,400000000,Investment Grade,Yes,Agency,Import-Export Banks,South Korea,6111,Eligible Green Projects,False,2016-02-02
Vasakronan AB (publ),VASKNV,0.38,2021-02-23 00:00:00,2018-03-23,SE0011062298,SE0011062298=,Swedish Krona,Sweden,Corporate,Bond,Plain Vanilla Fixed Coupon,51316554,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,Clean Transport,False,2018-03-16
Credit Agricole Corporate and Investment Bank SA,CAGRAB,5.25,2021-02-26 00:00:00,2018-02-27,XS1334475123,FR133447512=,Indian Rupee,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,5990959,,Yes,Banking,Banks (NEC),France,6029,Energy Efficiency,False,2018-02-27
Pasukhas Green Assets Sdn Bhd,PASUK,5.5,2021-02-26 00:00:00,2019-02-28,MYBVF1900466,MYSUK190046A=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Hybrid),Plain Vanilla Fixed Coupon,312876,,Yes,Financial - Other,Renewable Utilities,Malaysia,6726,Refinance/Financing expenses,False,2019-02-27
Sveaskog AB,SVSKG,1.49,2021-03-01 00:00:00,2016-03-01,SE0008092795,SE0008092795=,Swedish Krona,Sweden,Corporate,Bond,Plain Vanilla Fixed Coupon,79825751,,Yes,Building Products,Forest & Wood Products (NEC),Sweden,851,,False,2016-03-01
Sveaskog AB,SVSKG,1.198,2021-03-01 00:00:00,2016-03-01,SE0008092787,SE0008092787=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,34211036,,Yes,Building Products,Forest & Wood Products (NEC),Sweden,851,Land Preservation,False,2016-03-01
Credit Agricole Corporate and Investment Bank SA,CAGRAB,11.43,2021-03-01 00:00:00,2018-02-27,XS1334474829,FR133447482=,Turkish Lira,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,1274449,,Yes,Banking,Banks (NEC),France,6029,Clean Transport,False,2018-01-10
Credit Agricole Corporate and Investment Bank SA,CAGRAB,11.6,2021-03-01 00:00:00,2018-02-28,XS1334464861,FR133446486=,Turkish Lira,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,912237,,Yes,Banking,Banks (NEC),France,6029,Clean Transport,False,2018-01-24
Vasakronan AB (publ),VASKNV,0.41,2021-03-05 00:00:00,2018-03-05,SE0010948661,SE0010948661=,Swedish Krona,Sweden,Corporate,Bond,Plain Vanilla Fixed Coupon,57018394,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,Other,False,2018-02-27
Modern Land (China) Co Ltd,MODLA,7.95,2021-03-05 00:00:00,2018-03-05,XS1775946285,KY177594628=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,350000000,High Yield,Yes,Service - Other,Residential Real Estate Rental & Development,Cayman Islands,6531,Eligible Green Projects,True,2018-02-27
China Suntien Green Energy Corp Ltd,SUNTG,5.96,2021-03-13 00:00:00,2018-03-09,,CN143952SH=,Chinese Yuan,China (Mainland),Corporate,China Corporate Bond,Plain Vanilla Fixed Coupon,86383601,,Yes,Gas Utility - Local Distrib,Natural Gas Distribution,China (Mainland),4923,Eligible Green Projects,True,2018-03-07
Huarong Xiangjiang Bank Corp Ltd,HRAMLP,5.35,2021-03-15 00:00:00,2018-03-13,CND10000L966,CN1820007=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,366032210,,Yes,Banking,Corporate Banks,China (Mainland),6029,Eligible Green Projects,False,2018-03-08
Hyundai Capital Services Inc,HYMTRD,2.875,2021-03-16 00:00:00,2016-03-16,USY3815NAV39,KR137942992=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Financial - Other,Consumer Lending (NEC),South Korea,6141,Clean Transport,False,2016-03-07
Arise AB,ARISE,4.602,2021-03-16 00:00:00,2018-03-16,SE0010920900,SE0010920900=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,74123912,,Yes,Utility - Other,Renewable IPPs,Sweden,4911,Energy Efficiency,True,2018-03-09
Hyundai Capital Services Inc,HYMTRD,2.875,2021-03-16 00:00:00,2016-03-16,US44920UAG31,44920UAG3=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Financial - Other,Consumer Lending (NEC),South Korea,6141,Clean Transport,False,2016-03-07
Beijing Capital Polaris Investment Co Ltd,BEJINR,4.25,2021-03-26 00:00:00,2018-03-26,XS1792571652,HK179257165=,US Dollar,Hong Kong,Corporate,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Financial - Other,Investment Holding Companies (NEC),British Virgin Islands,6799,Eligible Green Projects,False,2018-03-19
Zhejiang Huayou Cobalt Co Ltd,ZJHYC,7.76,2021-03-27 00:00:00,2018-03-23,CND100010PP2,CN150230SH=,Chinese Yuan,China (Mainland),Corporate,Bond,Plain Vanilla Fixed Coupon,90775988,,Yes,Metals/Mining,Nonferrous Metal Mining,China (Mainland),3463,,True,2018-03-23
Shanghai Pudong Development Bank Co Ltd,SPDEV,3.2,2021-03-29 00:00:00,2016-03-25,CND100009JH4,CN1628007=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,2196193265,,Yes,Banking,Corporate Banks,China (Mainland),6022,Eligible Green Projects,True,2016-03-22
PNB Housing Finance Ltd,PNBKH,8.01,2021-03-31 00:00:00,2016-03-31,INE572E07019,INPNBKH3121=,Indian Rupee,India,Corporate,India - Non Convertible Debenture,Plain Vanilla Fixed Coupon,68079080,,Yes,Financial - Other,Retail & Mortgage Banks,India,6162,Green Construction,True,2016-03-30
